model,fold,rmse_kgCO2e,mae_kgCO2e,r2,mape_pct
RandomForest,1,6635.4498,not_available,not_available,not_available
RandomForest,2,2560.7504,not_available,not_available,not_available
RandomForest,3,3016.1531,not_available,not_available,not_available
RandomForest,4,3093.1105,not_available,not_available,not_available
RandomForest,5,4625.9716,not_available,not_available,not_available
RandomForest,6,4928.7414,not_available,not_available,not_available
RandomForest,7,3743.1107,not_available,not_available,not_available
RandomForest,8,3636.5137,not_available,not_available,not_available
RandomForest,9,6626.9372,not_available,not_available,not_available
RandomForest,10,3457.3984,not_available,not_available,not_available
XGBoost,1,3948.7206,not_available,not_available,not_available
XGBoost,2,2112.6345,not_available,not_available,not_available
XGBoost,3,1748.1753,not_available,not_available,not_available
XGBoost,4,1885.7666,not_available,not_available,not_available
XGBoost,5,3037.7725,not_available,not_available,not_available
XGBoost,6,2939.7996,not_available,not_available,not_available
XGBoost,7,2234.2007,not_available,not_available,not_available
XGBoost,8,2314.6822,not_available,not_available,not_available
XGBoost,9,4131.8211,not_available,not_available,not_available
XGBoost,10,1670.2053,not_available,not_available,not_available
SVR,1,8284.5045,not_available,not_available,not_available
SVR,2,4127.3187,not_available,not_available,not_available
SVR,3,4576.9131,not_available,not_available,not_available
SVR,4,4110.0034,not_available,not_available,not_available
SVR,5,6075.6049,not_available,not_available,not_available
SVR,6,7382.4647,not_available,not_available,not_available
SVR,7,5266.1725,not_available,not_available,not_available
SVR,8,4663.3708,not_available,not_available,not_available
SVR,9,9408.2831,not_available,not_available,not_available
SVR,10,5126.1335,not_available,not_available,not_available
Stacking,1,3629.1959,not_available,not_available,not_available
Stacking,2,2551.0582,not_available,not_available,not_available
Stacking,3,1837.472,not_available,not_available,not_available
Stacking,4,1897.7583,not_available,not_available,not_available
Stacking,5,3119.8504,not_available,not_available,not_available
Stacking,6,3031.5158,not_available,not_available,not_available
Stacking,7,2219.1759,not_available,not_available,not_available
Stacking,8,2261.1052,not_available,not_available,not_available
Stacking,9,3437.5655,not_available,not_available,not_available
Stacking,10,2610.9582,not_available,not_available,not_available
Blending,1,5964.7088,not_available,not_available,not_available
Blending,2,2092.0974,not_available,not_available,not_available
Blending,3,2511.0623,not_available,not_available,not_available
Blending,4,2614.5289,not_available,not_available,not_available
Blending,5,4041.6099,not_available,not_available,not_available
Blending,6,4419.0289,not_available,not_available,not_available
Blending,7,2974.045,not_available,not_available,not_available
Blending,8,3329.3923,not_available,not_available,not_available
Blending,9,6222.6836,not_available,not_available,not_available
Blending,10,2917.1057,not_available,not_available,not_available
